2018-12-28 13:40:38,851 [d thread 1]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.codeInsight.completion.CompletionPreloader@4b050b24 
2018-12-28 13:40:38,894 [d thread 1]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.ide.actions.GotoClassPresentationUpdater@2068f082 
2018-12-28 13:41:08,713 [e-1136-b06]   INFO - rd.FirstRunWizardFrameProvider - Overriding welcome frame to be resizable 
2018-12-28 13:41:11,133 [e-1136-b06]   INFO - stubs.SerializationManagerImpl - START StubSerializationManager SHUTDOWN 
2018-12-28 13:41:11,137 [e-1136-b06]   INFO - stubs.SerializationManagerImpl - END StubSerializationManager SHUTDOWN 
2018-12-28 13:41:11,138 [e-1136-b06]   INFO - il.indexing.FileBasedIndexImpl - START INDEX SHUTDOWN 
2018-12-28 13:41:11,447 [e-1136-b06]   INFO - il.indexing.FileBasedIndexImpl - END INDEX SHUTDOWN 
2018-12-28 13:41:11,463 [e-1136-b06]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
2018-12-28 13:41:11,492 [e-1136-b06]   INFO - Types.impl.FileTypeManagerImpl - FileTypeManager: 1 auto-detected files
Elapsed time on auto-detect: 26 ms 
2018-12-28 13:41:11,555 [notifier64]   INFO - pl.local.NativeFileWatcherImpl - Watcher terminated with exit code 0 
2018-12-28 13:41:11,560 [e-1136-b06]   INFO - newvfs.persistent.PersistentFS - VFS dispose started 
2018-12-28 13:41:11,568 [e-1136-b06]   INFO - newvfs.persistent.PersistentFS - VFS dispose completed 
2018-12-28 13:41:11,617 [wn tracker]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE SHUTDOWN ------------------------------------------------------ 
2018-12-28 13:41:11,628 [wn tracker]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
